source,target,value
0,1,0.9963
2,0,0.9835
3,4,0.9292
3,172,0.7162
5,6,0.8752
7,8,0.8744000000000001
8,74,0.7819
8,175,0.7275
9,10,0.8709
9,29,0.8308
9,35,0.7921
10,182,0.7193
11,12,0.8654
11,43,0.7791
11,218,0.6848000000000001
12,20,0.8444
12,152,0.7429
13,14,0.8589
13,42,0.7993
14,5,0.8328
15,5,0.8568
16,17,0.8552
16,173,0.7283
18,19,0.852
18,51,0.5799000000000001
21,22,0.8399
21,116,0.7652
21,160,0.7387
22,23,0.8365
24,6,0.8363
25,26,0.836
27,28,0.8357
28,191,0.7111000000000001
29,158,0.7424
30,31,0.8291999999999999
30,47,0.8051
32,33,0.8274
32,16,0.7498
32,249,0.6524
33,57,0.7987
34,35,0.8230999999999999
34,11,0.8138
34,115,0.7286
36,37,0.8178
38,24,0.8170999999999999
38,26,0.8067
39,40,0.8156
40,191,0.6625
41,42,0.8144
41,31,0.7677
41,133,0.7608
42,159,0.7405999999999999
43,37,0.8102
44,6,0.8082
45,46,0.8059000000000001
45,235,0.6705
46,169,0.6498999999999999
47,118,0.7651
48,49,0.8045
49,105,0.7709
50,51,0.8029999999999999
50,68,0.7201
50,270,0.5292
52,27,0.8006
52,97,0.7746
52,98,0.774
52,87,0.6875
53,54,0.7995
55,56,0.7988
55,85,0.6936
56,150,0.7509
58,26,0.7953
58,79,0.7818
59,60,0.7917
61,62,0.7899
61,107,0.7371
61,153,0.7122999999999999
61,156,0.6984
63,64,0.7899
64,87,0.6233
65,66,0.788
67,31,0.7873
68,54,0.7864
68,171,0.7262
69,49,0.7854
70,71,0.7852
70,174,0.7276
70,105,0.6933
72,73,0.7847
74,75,0.7847
76,77,0.7843
76,215,0.6890000000000001
78,54,0.7834
78,1,0.6748000000000001
78,273,0.6088
80,81,0.7817000000000001
81,146,0.7544
81,154,0.7374
82,83,0.7811
82,91,0.7692
82,157,0.7452
83,106,0.7709
83,129,0.7621
84,85,0.781
85,199,0.7048
86,87,0.78
86,95,0.7419
88,6,0.7793
89,49,0.7789
89,102,0.6688000000000001
90,91,0.7784
91,42,0.7601
92,93,0.7783
92,105,0.7070000000000001
92,209,0.6958
94,27,0.7761
95,96,0.7751
97,219,0.6568
99,100,0.772
99,187,0.7131000000000001
99,188,0.7127
100,117,0.7652
100,134,0.7605
100,152,0.7297
101,102,0.7719
101,257,0.6449
103,104,0.7715
104,144,0.756
105,232,0.6738999999999999
106,191,0.7078
107,108,0.7708
107,103,0.7139
109,38,0.7692
110,111,0.7683
110,60,0.7577
111,154,0.7111000000000001
112,107,0.7682
112,227,0.6484
113,94,0.7666999999999999
114,115,0.7661
119,120,0.7637
121,122,0.7637
121,202,0.7032
123,54,0.763
123,74,0.7298
123,163,0.6952
124,120,0.7628
124,126,0.7628
125,24,0.7628
126,23,0.7422
127,128,0.7626
129,201,0.7021
129,150,0.6874
130,131,0.7618
130,41,0.694
132,110,0.7609
135,136,0.7596
136,187,0.6738
137,138,0.7594
139,120,0.7591
140,73,0.759
141,20,0.7589
142,143,0.7561
142,162,0.7204999999999999
142,183,0.7192000000000001
143,137,0.7112
145,133,0.7545999999999999
147,129,0.7538
148,48,0.752
148,254,0.5822
149,121,0.7515000000000001
149,178,0.7257
149,230,0.6725
151,58,0.7508
152,153,0.7507
154,150,0.7507
155,156,0.7505
155,73,0.7469
155,248,0.6561
156,274,0.6028
157,167,0.7348
157,263,0.5982000000000001
160,166,0.7362
161,162,0.7382
161,141,0.7073
161,216,0.6819999999999999
162,66,0.6785
163,164,0.7373000000000001
165,93,0.7367
165,127,0.6597
168,169,0.7345999999999999
170,68,0.734
171,172,0.7314
173,84,0.7229
173,22,0.7221
173,168,0.6961999999999999
176,26,0.7267
176,177,0.7263
179,154,0.7254
180,181,0.7252000000000001
180,31,0.7074
184,31,0.7191000000000001
185,67,0.7183999999999999
186,83,0.7161
188,266,0.6256999999999999
189,180,0.7121
190,156,0.7118
192,97,0.7101
192,3,0.6648000000000001
193,98,0.7076
194,195,0.7067
194,206,0.626
195,204,0.6175999999999999
195,283,0.5746
196,40,0.7057
197,198,0.7050000000000001
198,206,0.702
200,201,0.7038
202,210,0.6759
202,231,0.6745
203,204,0.7028
205,96,0.7027
205,258,0.6444
206,219,0.6838
206,238,0.6695
207,94,0.7013
208,157,0.7011000000000001
208,239,0.6686000000000001
209,57,0.6885
210,211,0.6946
212,213,0.6928000000000001
212,60,0.5718
214,191,0.6897
215,23,0.6799
216,180,0.6879
217,169,0.6858
220,221,0.6819999999999999
220,230,0.6756
222,223,0.6819999999999999
223,264,0.6265000000000001
224,144,0.6806
225,26,0.6788000000000001
225,236,0.6702
226,227,0.6778
228,203,0.6763
229,154,0.6759999999999999
233,71,0.6738
233,231,0.6712
234,180,0.6736
237,122,0.6698
240,241,0.6671
241,263,0.5893999999999999
242,94,0.6666000000000001
242,260,0.6396
243,230,0.6665
244,86,0.6641
245,187,0.6629
246,231,0.6598999999999999
247,134,0.6589
250,106,0.6507000000000001
251,239,0.6505000000000001
252,43,0.6488
253,254,0.6485000000000001
255,88,0.6462
256,134,0.6451
259,146,0.643
261,101,0.6383
262,263,0.636
262,281,0.5757
264,163,0.631
265,248,0.6271
267,256,0.6234999999999999
268,158,0.6215999999999999
269,126,0.6133
270,271,0.6128
272,129,0.6106
275,93,0.5991
276,19,0.5936
277,28,0.5928
278,216,0.5885
279,203,0.5885
280,199,0.5791999999999999
282,246,0.5747
284,181,0.5723
285,254,0.5720000000000001
286,96,0.544
287,194,0.5378000000000001
288,267,0.5278
289,126,0.5214
290,220,0.5208999999999999
291,252,0.43610000000000004
292,200,0.3143
1,2,0.982
6,14,0.8301000000000001
10,29,0.8299
6,15,0.8278
11,20,0.8210999999999999
21,23,0.8188
14,15,0.8161
12,34,0.8068
5,24,0.8064
24,44,0.7908
15,42,0.7899
13,15,0.7856
5,13,0.7829
53,68,0.7797000000000001
32,57,0.7783
5,88,0.7759
12,35,0.7743
8,75,0.7743
11,35,0.7738
13,41,0.7724
25,58,0.7698
14,42,0.7672
5,58,0.767
25,38,0.7655000000000001
15,79,0.7643
5,26,0.764
15,24,0.7622
6,38,0.7619
89,105,0.7617
5,42,0.7601
120,126,0.7588
26,79,0.7582
30,41,0.7578
38,58,0.7574
15,41,0.7563
20,34,0.7556
47,58,0.7541
15,58,0.753
5,38,0.7523
30,58,0.752
30,118,0.7514000000000001
59,132,0.7514000000000001
12,43,0.7505999999999999
6,13,0.7501
24,109,0.75
5,79,0.7494000000000001
83,91,0.7474000000000001
15,38,0.7457
10,35,0.7452
38,82,0.7446999999999999
26,91,0.7445999999999999
38,125,0.7444
47,67,0.7442
119,124,0.7441
38,91,0.7441
6,42,0.7435
49,148,0.7425999999999999
24,26,0.7416
67,106,0.7415
126,139,0.7404
30,67,0.7403
82,90,0.7394000000000001
17,32,0.7391
42,58,0.7379
48,69,0.7368
12,37,0.7361
28,52,0.7355
23,120,0.735
17,57,0.7348
41,91,0.7347
5,159,0.7343
13,91,0.7343
15,44,0.7343
16,57,0.7331
60,132,0.7327
27,97,0.7324999999999999
79,109,0.7324999999999999
