 ,Electronic Engineering,Philosophy,Materials Science,Physics,Mathematics,Psychology,Engineering,Artificial Intelligence,Computer Science,Chemistry,Nanotechnology,Medicine,Radiology,Biology,Biomedical Engineering,Data-mining,Neuroscience,Biotechnology,Computational Biology,Electrical Engineering
1970,1,0.544408826,0.947547189,0.879097084,0.967886962,0.663848752,0.897373347,0.72924412,0.662195866,0.691467349,0.683788027,0.578575302,0.535308683,0.597568894,0.620009924,0.608162556,0.506516959,0.61553146,0.481274547,1
1971,1,0.550078966,0.953888445,0.886520028,0.974478149,0.670749752,0.903992692,0.732887346,0.678700151,0.69681278,0.684704294,0.582984654,0.538929509,0.601937399,0.619467066,0.612850936,0.513429717,0.616991713,0.480940238,1
1972,1,0.556560647,0.960987638,0.893582006,0.977524154,0.676001964,0.908714384,0.735491379,0.695172218,0.701959417,0.687820496,0.587737876,0.543789798,0.606486848,0.618134196,0.621651905,0.518958353,0.618615,0.481950202,1
1973,1,0.563799553,0.964679626,0.899953841,0.981439755,0.68211135,0.915081985,0.741257107,0.710282089,0.707147903,0.691054319,0.592535769,0.548221493,0.611138752,0.61732907,0.628792267,0.525472931,0.620111935,0.482397838,1
1974,1,0.570637846,0.970350099,0.905043683,0.984777504,0.687211317,0.922958669,0.744201862,0.722225829,0.71137531,0.694154548,0.596827275,0.550850633,0.615175443,0.618081698,0.6372452,0.529728263,0.620043911,0.482801692,1
1975,1,0.577124625,0.973082121,0.908140825,0.985105381,0.688105703,0.926851453,0.746692915,0.733017789,0.714984975,0.698775175,0.60080402,0.556184879,0.619032236,0.616616533,0.645095475,0.529266631,0.620303745,0.482813368,1
1976,1,0.583722882,0.977816491,0.911618721,0.984375469,0.689811965,0.929811759,0.74882213,0.743695272,0.718477781,0.703054203,0.605202632,0.561257586,0.623016728,0.617248751,0.652482288,0.532083334,0.622341521,0.483353012,1
1977,1,0.590953852,0.980740595,0.914980335,0.985318425,0.691680007,0.932815986,0.750056249,0.752263431,0.721919013,0.706127351,0.609570331,0.566542024,0.626856851,0.619401094,0.65958132,0.5344919,0.624773823,0.484287199,1
1978,1,0.597346818,0.984861352,0.917950858,0.985213583,0.693858797,0.935611678,0.749422944,0.759401768,0.725395474,0.710840345,0.61415302,0.572891853,0.630879997,0.619909023,0.667086736,0.537322221,0.625925062,0.485203022,1
1979,1,0.601103505,0.991120388,0.920737282,0.982883563,0.694984237,0.940036875,0.743292574,0.764152382,0.728680349,0.716483103,0.618415536,0.57804719,0.63461321,0.62105521,0.674673177,0.540230586,0.626674639,0.486785033,1
