 ,Political Science,Sociology,Business,Philosophy,Economics,Art,Computer Science,Mathematics,Materials Science,Physics,History,Psychology,Geology,Geography,Engineering,Environmental Science,Chemistry,Medicine
1955,0.802858618,0.894561401,0.835276139,0.609891724,0.784423891,0.690611045,0.726666213,0.875666999,0.837975796,0.786956451,0.737412123,0.670363654,0.798891258,0.663988862,0.840309026,0.701766906,0.346812377,0.301330603,
1956,0.809429296,0.903610162,0.837214021,0.616172954,0.787217942,0.694331213,0.733807797,0.883355148,0.840496385,0.790640954,0.741711293,0.677249663,0.802799426,0.665757257,0.842657028,0.702966851,0.344369304,0.301070758,
1957,0.816394809,0.911058589,0.845418555,0.622577709,0.794703318,0.698703372,0.74075247,0.890930951,0.844103229,0.795787766,0.746363215,0.683013628,0.806106438,0.668580879,0.847016808,0.704681432,0.340940696,0.300153316,
1958,0.822864366,0.919921275,0.849598823,0.629401546,0.800214139,0.703392765,0.748313477,0.898756876,0.850221492,0.803812734,0.750139224,0.689216654,0.810396201,0.670757276,0.853206125,0.705836996,0.339505469,0.298853161,
1959,0.831840584,0.929273376,0.857349611,0.63714176,0.804507431,0.709325634,0.757534806,0.907549388,0.856941234,0.811012625,0.75393038,0.695885579,0.817544743,0.674119816,0.858105258,0.708324777,0.338423333,0.296832087,
1960,0.840318602,0.935251481,0.866366182,0.644144015,0.809214362,0.713981558,0.765811356,0.915730704,0.861217725,0.817182677,0.758363073,0.702138622,0.822490606,0.6773272,0.861037643,0.70984833,0.338023001,0.294947504,
1961,0.848231371,0.941942041,0.871639249,0.651096438,0.814557181,0.718831746,0.775070827,0.923089015,0.869777147,0.824655912,0.763743068,0.70810318,0.828303355,0.680262722,0.864650844,0.711439661,0.338259627,0.292589935,
1962,0.856147978,0.948604143,0.879110641,0.659094468,0.822295009,0.72399231,0.785705887,0.93193784,0.879234224,0.834623063,0.768093799,0.714466783,0.835931396,0.683987836,0.869642211,0.715386306,0.3388903,0.289817744,
1963,0.862876125,0.955387851,0.88850786,0.666360928,0.828574575,0.729302128,0.796231638,0.940743431,0.887738679,0.844409369,0.771797562,0.719949013,0.843168736,0.687334423,0.873964563,0.71778696,0.339713649,0.286722956,
1964,0.871396267,0.9602941,0.903420315,0.674198568,0.836740337,0.734432535,0.808453542,0.950496265,0.897237316,0.854580914,0.776760025,0.725341474,0.850214119,0.69066831,0.879466769,0.719811651,0.340473912,0.283451928,
1965,0.879908726,0.967046224,0.91542141,0.681669027,0.844345399,0.738913633,0.821464228,0.960069571,0.907931137,0.868184798,0.781494992,0.730680039,0.854990946,0.694160155,0.886318299,0.722303927,0.341908938,0.280181367,
1966,0.888690188,0.973649668,0.926221874,0.686305629,0.85421678,0.74340723,0.833310343,0.969915042,0.91769585,0.881077192,0.785153042,0.735377809,0.860408434,0.697680838,0.894109275,0.724698845,0.343303798,0.27708929,
1967,0.89879336,0.981628949,0.939572425,0.692805117,0.864074898,0.749175962,0.846567533,0.981779956,0.927544691,0.894762519,0.789264902,0.739192575,0.863253661,0.700994071,0.90226736,0.726879328,0.344910773,0.27356685,
1968,0.908835136,0.989626482,0.954084789,0.698449505,0.874788452,0.753878623,0.858475513,0.991822956,0.938187216,0.906968905,0.793102734,0.741746907,0.867940481,0.703992111,0.91078328,0.729156955,0.346700805,0.270031008,
1969,0.921483806,0.999596821,0.964629325,0.70443657,0.888663952,0.758786773,0.870028892,1,0.946555305,0.918185234,0.79631558,0.744326473,0.870901446,0.706248724,0.917463479,0.73070228,0.347783955,0.266174212,
1970,0.933310652,1,0.974290287,0.710048683,0.900416071,0.763983053,0.879963477,1,0.954127089,0.928623807,0.800444777,0.745951275,0.874863316,0.709115348,0.923554691,0.731571262,0.348790656,0.261965277,
1971,0.946333795,1,0.987686334,0.716466404,0.914885835,0.769333954,0.891069239,1,0.96208545,0.939996949,0.803904147,0.747770731,0.878616822,0.712390975,0.929344946,0.733424939,0.350021358,0.258175189,
1972,0.957861902,1,1,0.722410827,0.92741398,0.774901172,0.900024398,1,0.969995943,0.949498568,0.806431241,0.748457627,0.881398943,0.715404841,0.93524845,0.734812188,0.351278963,0.255074944,
1973,0.970376794,1,1,0.728996292,0.941933498,0.78051393,0.908523413,1,0.977052561,0.957671217,0.809717596,0.749196498,0.882432359,0.717852197,0.939696306,0.735656598,0.352455581,0.25258384,
1974,0.982259224,1,1,0.735596803,0.956106817,0.786623664,0.917301518,1,0.984412187,0.965423566,0.813558739,0.750642452,0.8824106,0.71977632,0.943177641,0.73557911,0.353204791,0.25014192,
1975,0.993999772,1,1,0.742505815,0.968512253,0.792740425,0.924745491,1,0.990945643,0.971543131,0.816018683,0.751413243,0.881174576,0.720738602,0.946079157,0.734894301,0.353795123,0.248162892,
1976,1,1,1,0.749142998,0.98092468,0.798977334,0.931852015,1,0.997074819,0.977136986,0.819414472,0.750875284,0.881222453,0.722594261,0.947750546,0.734799897,0.354224958,0.246779723,
1977,1,1,1,0.755606477,0.99297992,0.805998143,0.939216715,1,1,0.982956172,0.82237658,0.751371508,0.880633131,0.724523015,0.949964402,0.733816535,0.354699772,0.24598556,
1978,1,1,1,0.762439686,1,0.81214615,0.946189006,1,1,0.988417923,0.825800564,0.752140435,0.880589646,0.726331751,0.953522279,0.732547899,0.354659319,0.245267377,
1979,1,1,1,0.768775598,1,0.818452715,0.951158002,1,1,0.993188485,0.829131561,0.751947958,0.880688168,0.728022875,0.956765931,0.731459566,0.354516223,0.244704593,
1980,1,1,1,0.77506005,1,0.824734747,0.95680802,1,1,0.998276791,0.831439141,0.751791118,0.880179794,0.729313629,0.959691004,0.72941022,0.35457675,0.244524831,
1981,1,1,1,0.781590299,1,0.831764356,0.962513192,1,1,1,0.834311977,0.751633981,0.88003999,0.730880272,0.962523026,0.728511913,0.35465869,0.244477837,
1982,1,1,1,0.788185636,1,0.838089807,0.968453235,1,1,1,0.837522012,0.752147472,0.879983075,0.732273186,0.965567124,0.726563274,0.3542042,0.244651373,
1983,1,1,1,0.794600283,1,0.844688321,0.973877239,1,1,1,0.84024526,0.752189537,0.879390897,0.733381711,0.968308926,0.724436261,0.354025433,0.245125738,
1984,1,1,1,0.800613906,1,0.850854506,0.979311351,1,1,1,0.842469947,0.752299503,0.878744202,0.73418253,0.97049925,0.722538434,0.35360892,0.245800687,
1985,1,1,1,0.806764616,1,0.856938807,0.984221575,1,1,1,0.844554826,0.752292782,0.87835463,0.734910149,0.974146859,0.72068991,0.353330023,0.24640971,
1986,1,1,1,0.813264001,1,0.863209765,0.989629636,1,1,1,0.846475675,0.752118321,0.877015288,0.735587414,0.976753042,0.718685572,0.352804727,0.247103092,
1987,1,1,1,0.818995404,1,0.868668401,0.994393049,1,1,1,0.848470996,0.75206304,0.876686136,0.736247732,0.979434114,0.717274524,0.352389659,0.247928775,
1988,1,1,1,0.825140321,1,0.874550685,1,1,1,1,0.850212646,0.751865633,0.8753373,0.736229153,0.983791656,0.715704135,0.352476432,0.249060129,
1989,1,1,1,0.831378493,1,0.880070634,1,1,1,1,0.851827551,0.751657516,0.874498263,0.736734247,0.988068997,0.71414004,0.35244378,0.249995686,
1990,1,1,1,0.83761836,1,0.885323178,1,1,1,1,0.853496476,0.751140914,0.873001496,0.736390084,0.989773925,0.712120594,0.35248214,0.250623369,
1991,1,1,1,0.84396534,1,0.890123806,1,1,1,1,0.855001265,0.750806209,0.871712502,0.736300561,0.992254908,0.710205695,0.35302464,0.251319782,
