 ,Medicine,Art,Chemistry,Biology,Political Science,Sociology,History,Philosophy,Psychology,Materials Science,Environmental Science,Geography,Business,Geology,Economics,Engineering,Physics,Computer Science
1955,1,0.748869335,0.780456913,0.875666999,0.758653025,0.659558899,0.748496337,0.665157034,0.628510784,0.462785893,0.636691597,0.68311273,0.728490224,0.626700005,0.633134348,0.480708663,0.407045502,0.537459831,
1956,1,0.758433033,0.783479021,0.883355148,0.76325108,0.665718838,0.758994761,0.668867929,0.630291528,0.466538088,0.64278613,0.687379384,0.731807064,0.628424389,0.631289087,0.482549029,0.408192112,0.53429968,
1957,1,0.764753782,0.785815341,0.890930951,0.76819239,0.672304231,0.765954554,0.672181821,0.633385241,0.470082423,0.644923702,0.692151198,0.736897306,0.625520214,0.629848412,0.487090141,0.40987558,0.529298269,
1958,1,0.771405046,0.791078947,0.898756876,0.776159782,0.679318766,0.776350459,0.676873557,0.637463922,0.472270457,0.649264233,0.697883978,0.73680985,0.62727511,0.630401125,0.490326015,0.412026627,0.526748993,
1959,1,0.777552012,0.795102351,0.907549388,0.783452161,0.684271266,0.785000814,0.681491517,0.641577434,0.474383527,0.653242819,0.704478264,0.729371365,0.627589021,0.629533684,0.49242606,0.415130108,0.521180739,
1960,1,0.783578567,0.799741465,0.915730704,0.787611749,0.692676127,0.796002568,0.684492917,0.645260889,0.480101686,0.658586732,0.710357872,0.721478023,0.631287725,0.629097385,0.493012419,0.419149997,0.516618477,
1961,1,0.790874282,0.804975834,0.923089015,0.794869955,0.699575632,0.802019207,0.687653301,0.650957333,0.486041289,0.662607686,0.714009917,0.709283963,0.634563232,0.628893668,0.493895741,0.423231776,0.510693067,
1962,1,0.796275236,0.810359467,0.93193784,0.795761563,0.705849438,0.808740999,0.69160885,0.655049196,0.490871057,0.668328684,0.719188125,0.702953477,0.638353218,0.629800439,0.493509899,0.427630099,0.505277,
1963,1,0.802116816,0.815214561,0.940743431,0.801226483,0.711050821,0.815989913,0.695602946,0.663200638,0.496395899,0.673346963,0.725398117,0.694937861,0.640358799,0.628822948,0.493585567,0.431742576,0.501090093,
1964,1,0.811880305,0.820429478,0.950496265,0.810022854,0.718145588,0.825020627,0.701540997,0.66958141,0.502529021,0.681219412,0.732352175,0.687752157,0.644478261,0.631286275,0.492109982,0.436181987,0.497092898,
1965,1,0.818160129,0.826143605,0.960069571,0.816724021,0.726751923,0.831556641,0.709483647,0.679041448,0.507218553,0.685695587,0.737503076,0.683168197,0.649456612,0.633143598,0.490858198,0.440238709,0.493321792,
1966,1,0.825340265,0.832849111,0.969915042,0.820618375,0.734297021,0.839402457,0.717519747,0.688802128,0.513168545,0.689107463,0.743144986,0.681481277,0.652444085,0.634577814,0.489317361,0.44458115,0.491420022,
1967,1,0.834258432,0.840734397,0.981779956,0.828066479,0.742762749,0.84942833,0.72597056,0.699806717,0.520101512,0.695031868,0.749905645,0.679495561,0.655909957,0.639398352,0.487980582,0.449032336,0.488578351,
1968,1,0.843125398,0.847842307,0.991822956,0.833828102,0.74991032,0.85731522,0.732656273,0.707890767,0.525673991,0.699186177,0.756625915,0.679310253,0.661115179,0.643274516,0.485574095,0.453212405,0.485501656,
1969,1,0.851767652,0.855619909,1,0.83409488,0.756443476,0.865577714,0.739460275,0.715118208,0.534426598,0.704054529,0.761866007,0.680496526,0.665085705,0.644328433,0.484674654,0.45740289,0.483175186,
1970,1,0.858698551,0.860734223,1,0.837370963,0.761000854,0.872075716,0.745240896,0.723005398,0.541515729,0.705546206,0.764201958,0.680105748,0.666825351,0.647016902,0.481971213,0.460919688,0.481312552,
1971,1,0.86553777,0.867278821,1,0.839936054,0.767148634,0.877733353,0.751588465,0.730668675,0.54893172,0.707246743,0.768456265,0.680859911,0.670149436,0.648866846,0.479934248,0.464727788,0.477820735,
1972,1,0.872821675,0.874643603,1,0.843211972,0.769795743,0.882850565,0.758210197,0.736640448,0.556985412,0.710280358,0.771136635,0.682423252,0.672938684,0.651073954,0.477492799,0.467977556,0.475617857,
1973,1,0.877423782,0.881516883,1,0.846678023,0.775553997,0.888384919,0.763430129,0.742556275,0.564054348,0.713729682,0.774408831,0.68524051,0.675500257,0.654952292,0.476078127,0.470707589,0.473708177,
1974,1,0.880147453,0.887757713,1,0.849597692,0.775878413,0.891488881,0.765727474,0.747072825,0.571485595,0.718044824,0.77645356,0.689235739,0.679114792,0.655842361,0.475608608,0.473694204,0.471951323,
1975,1,0.883318162,0.893281803,1,0.848877068,0.776856433,0.89405324,0.769222937,0.750996174,0.578214785,0.721488109,0.777084914,0.690820462,0.681993004,0.656272104,0.474596065,0.476406496,0.469824711,
1976,1,0.885884246,0.898002307,1,0.847960475,0.778668413,0.89530267,0.770976166,0.754891108,0.585163711,0.723831153,0.777240709,0.693439425,0.683433049,0.656937729,0.473830191,0.478877669,0.46747781,
1977,1,0.888828433,0.902841113,1,0.847846912,0.779872521,0.897406436,0.773216517,0.757789229,0.591987167,0.727121513,0.776916187,0.696004226,0.684933677,0.656874535,0.473083771,0.481184882,0.465751362,
1978,1,0.890457534,0.907865889,1,0.846216412,0.780950151,0.897862905,0.774652406,0.76018269,0.598316353,0.72909579,0.775238723,0.698173177,0.685384294,0.65719599,0.472113662,0.483250063,0.463657309,
1979,1,0.891033502,0.912331966,1,0.846655193,0.781467636,0.89865015,0.774908111,0.761203651,0.604147735,0.731266816,0.773456104,0.700410151,0.685335105,0.65707102,0.471011314,0.48489985,0.461164549,
1980,1,0.892912323,0.916180462,1,0.845712701,0.781599674,0.896491309,0.774191675,0.762178322,0.610422239,0.732999476,0.77141582,0.700516168,0.685559674,0.656648129,0.470248878,0.486769654,0.459140591,
1981,1,0.89449277,0.919877611,1,0.844565914,0.783181174,0.895592497,0.774361897,0.764278282,0.616785116,0.734561945,0.768551435,0.701644172,0.685643782,0.65776485,0.469420179,0.488651536,0.457250059,
1982,1,0.895848658,0.923675807,1,0.844660982,0.78416622,0.895286224,0.775202603,0.766409478,0.622587135,0.735994354,0.767299349,0.702057456,0.684918145,0.659080247,0.468929283,0.489778542,0.455795314,
1983,1,0.898583399,0.926840982,1,0.846925559,0.786657056,0.895266009,0.776843676,0.76800923,0.628534298,0.736590545,0.766363059,0.703535925,0.684968927,0.66050661,0.468114912,0.491076053,0.454381097,
1984,1,0.90072755,0.929270141,1,0.849390091,0.789190849,0.895636894,0.777439202,0.77079453,0.633208612,0.737825828,0.766341399,0.703753845,0.685497914,0.661710323,0.467120819,0.490633366,0.452561144,
1985,1,0.90355015,0.932163375,1,0.851423294,0.792060255,0.896267943,0.77909403,0.773274012,0.638286327,0.739392702,0.76624632,0.703981023,0.685307965,0.663391127,0.465088824,0.4909316,0.45012615,
1986,1,0.905252793,0.934830038,1,0.854318488,0.795592758,0.897071874,0.779497157,0.775354929,0.643559087,0.740426254,0.766435745,0.70350885,0.684863203,0.664684533,0.463483205,0.490953137,0.447958402,
1987,1,0.905499885,0.936421415,1,0.858054632,0.799541773,0.897605527,0.780139338,0.775298306,0.648427416,0.741975445,0.76629026,0.70408143,0.684952032,0.667366509,0.461304755,0.49097503,0.445264453,
1988,1,0.906790555,0.93973753,1,0.861427493,0.803122287,0.898049306,0.780109079,0.778194347,0.654286829,0.744252562,0.766867431,0.704464969,0.686462987,0.669533564,0.458977588,0.491729098,0.441484965,
1989,1,0.908026538,0.942501905,1,0.865697534,0.807667127,0.90029212,0.780753603,0.781061774,0.659692171,0.746901016,0.767703731,0.704947954,0.687752983,0.67199171,0.456354799,0.492393382,0.436961272,
1990,1,0.910406187,0.944989809,1,0.869913768,0.813015743,0.901881494,0.780768369,0.782841805,0.664704263,0.749114207,0.76826267,0.705683428,0.688351864,0.675046337,0.453432649,0.492145893,0.431823455,
1991,1,0.912111472,0.948070055,1,0.873997924,0.818226809,0.903848578,0.780996053,0.785671571,0.669789311,0.751627114,0.769202629,0.707206168,0.689539737,0.678197767,0.451173096,0.492477338,0.426915984,
1992,1,0.912374771,0.951504798,1,0.877799658,0.823138584,0.905827424,0.78111592,0.78746942,0.67547595,0.755295845,0.770127038,0.708220835,0.691598157,0.681151351,0.44914866,0.492733523,0.421819905,
1993,1,0.91312776,0.953310291,1,0.882143087,0.827919389,0.906546541,0.780519765,0.788947148,0.679715436,0.757774667,0.770434813,0.708801213,0.692558452,0.684085894,0.446151373,0.492464306,0.416247802,
1994,1,0.913912383,0.955346377,1,0.886915509,0.832620905,0.907771654,0.779922787,0.790285131,0.684839134,0.760344576,0.770961065,0.709797206,0.693716158,0.686787884,0.443779524,0.492561219,0.410636659,
1995,1,0.915513442,0.957323359,1,0.891377611,0.837192308,0.90950418,0.77987509,0.792115908,0.688825151,0.762767784,0.771516193,0.710947414,0.694996872,0.68927595,0.441303206,0.492346737,0.406213192,
1996,1,0.916062276,0.959117984,1,0.896209194,0.841463535,0.910152796,0.78016365,0.793819348,0.693198411,0.764495322,0.771698673,0.712277824,0.695872176,0.691751565,0.439313157,0.492049732,0.401913504,
1997,1,0.917056928,0.961502655,1,0.901224125,0.846683766,0.911420557,0.781098716,0.795909479,0.698276117,0.765091425,0.771091979,0.714066316,0.696399513,0.694629223,0.438327958,0.492083498,0.398725412,
1998,1,0.918255142,0.963810155,1,0.904796646,0.851630742,0.91214583,0.782369102,0.797726384,0.702979348,0.766547825,0.770750453,0.716725381,0.697145658,0.697855016,0.437775082,0.492022568,0.396227419,
1999,1,0.918473443,0.966374393,1,0.908526081,0.856391884,0.911770674,0.783525121,0.799595472,0.709217166,0.768170877,0.770121947,0.719095694,0.697994166,0.700380148,0.437943049,0.492786309,0.394181402,
2000,1,0.91994439,0.968656463,1,0.911351087,0.861020745,0.911102056,0.785133228,0.801238361,0.714808458,0.769571717,0.769614242,0.722125483,0.699281986,0.703287466,0.438016772,0.493104697,0.392388556,
2001,1,0.920634987,0.970970796,1,0.913547972,0.865218214,0.909270331,0.78621218,0.802149533,0.720394642,0.771044266,0.768865786,0.724541957,0.700358419,0.705600384,0.438681631,0.49367213,0.390983591,
2002,1,0.921296044,0.973221492,1,0.915344275,0.869139397,0.907336964,0.787791679,0.804134866,0.726043588,0.772486783,0.76844067,0.726580254,0.701325347,0.707473849,0.442562656,0.49394216,0.389532086,
2003,1,0.922070074,0.974881113,1,0.916642617,0.87305301,0.905226697,0.789784586,0.80588329,0.731801083,0.774298553,0.767894961,0.728502807,0.702615623,0.70918157,0.448014705,0.493988893,0.387859388,
2004,1,0.924980408,0.9762349,1,0.918165591,0.877169812,0.903869257,0.792794655,0.808269,0.738113945,0.776291085,0.767791789,0.730159787,0.704609893,0.710746098,0.453873323,0.494650616,0.385925444,
2005,1,0.927809506,0.977214695,1,0.919961553,0.881540906,0.902788313,0.795958205,0.810453844,0.744351715,0.778742671,0.767980896,0.731744919,0.707213432,0.712302002,0.459692261,0.495284703,0.383645862,
2006,1,0.930852081,0.978128534,1,0.921763331,0.885866544,0.902041348,0.800022014,0.813074312,0.751321681,0.780483227,0.768275104,0.732993504,0.709675762,0.713411078,0.465551261,0.496271279,0.381419193,
2007,1,0.933213417,0.978567941,1,0.922825699,0.88890001,0.90043093,0.803732288,0.814470235,0.758081592,0.781169769,0.767733079,0.733622629,0.711209192,0.713828868,0.471038445,0.497172102,0.379330553,
2008,1,0.93528192,0.978564126,1,0.923113459,0.89144808,0.899352747,0.806871972,0.81592226,0.764505618,0.781891909,0.767294252,0.733449618,0.713248083,0.713695462,0.475895565,0.497996525,0.377331287,
2009,1,0.937498437,0.97898309,1,0.923329165,0.893673579,0.89836671,0.81168469,0.817048213,0.770496618,0.783121405,0.767432885,0.732722691,0.71509224,0.712974736,0.480137737,0.498541179,0.375185744,
2010,1,0.9392916,0.979029769,0.99893891,0.922970065,0.895070439,0.896981157,0.816569554,0.818184157,0.776299047,0.784219183,0.766196907,0.732563946,0.716757417,0.712168658,0.484663262,0.499268884,0.373660085,
2011,1,0.941160933,0.977377067,0.99321996,0.922907796,0.89672971,0.896178885,0.821540277,0.819360735,0.781406431,0.785198392,0.766506225,0.732955457,0.71834388,0.712144486,0.49054326,0.500893715,0.372916108,
2012,1,0.942980525,0.974999205,0.987187012,0.923791693,0.899255706,0.895301574,0.826737813,0.821079615,0.785841796,0.785583762,0.766405081,0.734228935,0.719649315,0.712602798,0.496432421,0.502253757,0.372656804,
2013,1,0.944555686,0.971949437,0.981008937,0.924825028,0.901343558,0.894418433,0.831761196,0.82287449,0.789200771,0.785152841,0.765577204,0.735716197,0.72030361,0.712815131,0.502019634,0.503538982,0.372672989,
2014,1,0.945916636,0.969094178,0.975256199,0.925928525,0.903397387,0.893882412,0.836799548,0.82437107,0.792243431,0.784973391,0.765426868,0.737079745,0.72109334,0.713037563,0.507527328,0.505145935,0.372539879,
2015,1,0.946844786,0.964923715,0.968802272,0.926751407,0.905401643,0.892898702,0.841700342,0.825905932,0.793236171,0.783862466,0.764626739,0.73857846,0.721433351,0.713151989,0.512052587,0.50610881,0.372804249,
2016,1,0.947275831,0.959756432,0.96157399,0.928006561,0.907263392,0.891660087,0.846166712,0.826967417,0.793023089,0.782150514,0.763632661,0.739677153,0.721302987,0.713099612,0.515253886,0.506569165,0.373016359,
2017,1,0.947058864,0.953317531,0.953432102,0.928844701,0.908785905,0.890040548,0.850246451,0.82746578,0.791491709,0.779500149,0.762502793,0.740386015,0.720824104,0.712874475,0.517885621,0.506817328,0.373356128,
2018,1,0.946225278,0.946068201,0.944789132,0.929062398,0.909368063,0.88743489,0.853270069,0.826966093,0.788970356,0.776173191,0.760839587,0.740432124,0.719797702,0.711708016,0.518725443,0.506887904,0.373099499,
2019,1,0.944850683,0.938918677,0.936499766,0.928216157,0.909164462,0.88495723,0.855429416,0.826326422,0.785849768,0.772354585,0.759207586,0.739654381,0.718712871,0.709843188,0.519422438,0.506676202,0.373147014,
2020,1,0.944133865,0.936427619,0.933714244,0.927469942,0.908830675,0.884035066,0.855848831,0.825895479,0.784775659,0.770895403,0.758623936,0.738920903,0.718523796,0.708862624,0.519616194,0.506578135,0.373233548,
