 ,Economics,Political Science,Medicine,Philosophy,Sociology,Psychology,Business,History,Art,Geography,Biology,Environmental Science,Computer Science,Geology,Chemistry,Mathematics,Engineering,Materials Science
1955,0.855912454,0.892792688,0.901338351,0.67513128,0.914401228,0.811465644,0.848475018,0.857577915,0.746088543,0.744797993,0.786956451,0.662034781,0.64657245,0.599160162,0.53958413,0.407045502,0.510158383,0.351623342,
1956,0.860591224,0.900617918,0.900217739,0.679475831,0.92318237,0.820151071,0.846995038,0.864039978,0.751638215,0.748487841,0.790640954,0.665481,0.648141397,0.598852698,0.53844963,0.408192112,0.511461388,0.353460394,
1957,0.870414074,0.909515948,0.902052969,0.684493069,0.933196347,0.827462908,0.850820065,0.868911961,0.756175508,0.751598788,0.795787766,0.668338031,0.653460233,0.59635928,0.538085415,0.40987558,0.514857887,0.355696582,
1958,0.882279668,0.914959634,0.9048669,0.691487967,0.941661043,0.832220238,0.850458016,0.875796752,0.762977556,0.757662169,0.803812734,0.675266164,0.656745801,0.598731108,0.540336446,0.412026627,0.517251879,0.358974993,
1959,0.88940464,0.924341529,0.906579375,0.697092137,0.948870285,0.839342787,0.847538234,0.883086817,0.770784228,0.761825596,0.811012625,0.677838785,0.660255852,0.596631782,0.541290576,0.415130108,0.518446971,0.361982081,
1960,0.896245923,0.930623084,0.908330174,0.701507554,0.959152202,0.845513665,0.83751223,0.88865505,0.775943848,0.767311249,0.817182677,0.679842026,0.663008506,0.595142291,0.5416537,0.419149997,0.520666081,0.365787966,
1961,0.902599339,0.939157305,0.911983775,0.708351964,0.96866778,0.85185295,0.828374527,0.897639725,0.782706511,0.772460484,0.824655912,0.68485994,0.666453611,0.593885591,0.542148912,0.423231776,0.523760217,0.369562375,
1962,0.914277798,0.945939376,0.917475767,0.715577743,0.982332664,0.858808441,0.818402689,0.905492193,0.790383802,0.777998601,0.834623063,0.689545716,0.669717396,0.592576287,0.543073618,0.427630099,0.525727623,0.372571685,
1963,0.930590481,0.958742173,0.924158875,0.723578212,0.994906074,0.869217757,0.801293933,0.912092222,0.79929334,0.781944572,0.844409369,0.69466879,0.672915269,0.592087065,0.544927294,0.431742576,0.528096566,0.375885286,
1964,0.943641536,0.968750512,0.931559446,0.731210591,1,0.876990069,0.787330218,0.916804161,0.808697976,0.787748713,0.854580914,0.700721597,0.67784602,0.593005893,0.547754751,0.436181987,0.529954159,0.380037974,
1965,0.95312336,0.978758158,0.94203258,0.741067653,1,0.88848175,0.781357373,0.919961704,0.816059661,0.793205594,0.868184798,0.704548898,0.684883623,0.595233332,0.550832486,0.440238709,0.531971281,0.384675687,
1966,0.969045101,0.989236656,0.953116671,0.750931641,1,0.899349188,0.774909927,0.924232927,0.82569789,0.79895694,0.881077192,0.709878125,0.686536361,0.598074802,0.554219689,0.44458115,0.532143335,0.38819802,
1967,0.983847969,0.999205699,0.963906016,0.7604712,1,0.909670692,0.774734043,0.928233644,0.835797177,0.804779952,0.894762519,0.716120043,0.6904332,0.600779392,0.557465865,0.449032336,0.531941827,0.393119945,
1968,0.994549874,1,0.973160329,0.767729363,1,0.916742867,0.778867449,0.931076045,0.845100389,0.810204962,0.906968905,0.719493044,0.694484837,0.603523839,0.560471701,0.453212405,0.531067639,0.396799356,
1969,1,1,0.982278972,0.775335176,1,0.924577406,0.784866747,0.93303923,0.852868973,0.813993224,0.918185234,0.723787718,0.698640454,0.605475579,0.562842438,0.45740289,0.529645732,0.400776887,
1970,1,1,0.990001182,0.780248165,1,0.933285241,0.792960139,0.935100467,0.859793795,0.817034966,0.928623807,0.726482346,0.702518931,0.606887361,0.564828038,0.460919688,0.527514812,0.403353175,
1971,1,1,0.999574323,0.787631601,1,0.940688356,0.803132007,0.938351134,0.866068825,0.821997297,0.939996949,0.72919236,0.70586368,0.608699691,0.568052152,0.464727788,0.525244324,0.406558787,
1972,1,1,1,0.793812067,1,0.945422524,0.811283905,0.942358683,0.872006089,0.826968846,0.949498568,0.731218595,0.709887546,0.610595845,0.570930436,0.467977556,0.5229943,0.409471341,
1973,1,1,1,0.799982495,1,0.951840073,0.822519155,0.945315068,0.877205761,0.832285,0.957671217,0.733524628,0.713600132,0.611516414,0.573324504,0.470707589,0.520689607,0.412175801,
1974,1,1,1,0.80469107,1,0.955826066,0.833330618,0.947984151,0.881112535,0.836007027,0.965423566,0.735845549,0.717195107,0.613010896,0.575829946,0.473694204,0.518357967,0.414210404,
1975,1,1,1,0.810138787,1,0.959140436,0.842749048,0.949808984,0.885445411,0.839206745,0.971543131,0.736774194,0.71979283,0.614668211,0.577981241,0.476406496,0.516127785,0.416444891,
1976,1,1,1,0.815219811,1,0.962106661,0.855664078,0.951938808,0.890185107,0.841506563,0.977136986,0.738409696,0.721807834,0.615910212,0.579981421,0.478877669,0.514408949,0.418752548,
1977,1,1,1,0.820977126,1,0.967489772,0.867821122,0.952826369,0.895598004,0.844506368,0.982956172,0.740644606,0.723835649,0.617789333,0.582152359,0.481184882,0.512279352,0.420657818,
1978,1,1,1,0.825756328,1,0.972019947,0.879555023,0.953640793,0.900718743,0.846659375,0.988417923,0.742822201,0.726075791,0.619196588,0.584585022,0.483250063,0.510258807,0.422035948,
