 ,Biology,Chemistry,Physics,Materials Science,Geology,Engineering,Medicine,Mathematics,Environmental Science,Computer Science,Art,Psychology,Geography,Philosophy,History,Business,Economics,Sociology
1955,0.802858618,0.805109864,0.892792688,0.88570821,0.786793946,0.611756881,0.824812942,0.758653025,0.609127542,0.631358914,0.494753214,0.639190689,0.599929342,0.527628207,0.438062335,0.441706469,0.322979417,0.322515738,
1956,0.809429296,0.813148103,0.900617918,0.890795031,0.794724383,0.62174412,0.828736601,0.76325108,0.622135797,0.6333392,0.495463999,0.63982823,0.601230895,0.528186524,0.434369291,0.446121169,0.328043883,0.324274273,
1957,0.816394809,0.821250415,0.909515948,0.901366523,0.806021316,0.627481201,0.834306768,0.76819239,0.634966864,0.643076445,0.496943733,0.642611505,0.601967711,0.528778706,0.432290598,0.446944393,0.326292262,0.322826829,
1958,0.822864366,0.828653826,0.914959634,0.90717704,0.816097992,0.637519923,0.839517368,0.776159782,0.643615036,0.648061968,0.496278589,0.644479958,0.601868928,0.530959817,0.431733106,0.450266601,0.329878368,0.325181716,
1959,0.831840584,0.837637756,0.924341529,0.916190869,0.824564425,0.647814112,0.845457668,0.783452161,0.655413671,0.648016664,0.494341633,0.645471936,0.602385522,0.529785738,0.425216998,0.446681885,0.326622588,0.321544741,
1960,0.840318602,0.847311911,0.930623084,0.928816358,0.829957093,0.658747853,0.851396157,0.787611749,0.66434814,0.651722368,0.493184576,0.646543109,0.598797436,0.528158217,0.422354704,0.452132636,0.325127488,0.320228105,
1961,0.848231371,0.856836952,0.939157305,0.936030426,0.841104575,0.666479777,0.857276187,0.794869955,0.674019347,0.656791383,0.490615425,0.648319595,0.595754359,0.529429638,0.417628224,0.454212402,0.324110924,0.318864826,
1962,0.856147978,0.867061353,0.945939376,0.947407417,0.851533225,0.673280149,0.863067201,0.795761563,0.678442814,0.659969906,0.490858994,0.650532829,0.594991909,0.527244004,0.415826762,0.456446573,0.325995217,0.319212764,
1963,0.862876125,0.87713364,0.958742173,0.959235071,0.853530238,0.685665576,0.869151627,0.801226483,0.684451899,0.67194229,0.489416511,0.654437424,0.587427895,0.524963683,0.411812288,0.456053653,0.325399954,0.318510345,
1964,0.871396267,0.887695014,0.968750512,0.970146123,0.862356295,0.699655944,0.875885728,0.810022854,0.694790069,0.682632602,0.490949148,0.657597537,0.58717652,0.524541289,0.409570458,0.462846064,0.326358648,0.319173207,
1965,0.879908726,0.898060027,0.978758158,0.979668421,0.869240896,0.710903736,0.881108791,0.816724021,0.705133539,0.690396544,0.488907871,0.659558583,0.584238894,0.523241963,0.407681665,0.464090533,0.324537964,0.320739499,
1966,0.888690188,0.910241575,0.989236656,0.993267865,0.87337324,0.716942743,0.887628917,0.820618375,0.71738189,0.694366211,0.488654101,0.659920356,0.581282087,0.52481905,0.404386086,0.458853944,0.323387028,0.320927433,
1967,0.89879336,0.922417771,0.999205699,1,0.880631035,0.727508538,0.893654342,0.828066479,0.731630058,0.698237865,0.488064965,0.663961295,0.580955756,0.524208685,0.404416493,0.458051747,0.3228677,0.322318894,
1968,0.908835136,0.935362081,1,1,0.879131852,0.738580129,0.898078587,0.833828102,0.737906445,0.705033649,0.489504655,0.663506717,0.578962502,0.523725871,0.402027603,0.459627574,0.322794019,0.320706517,
1969,0.921483806,0.951611641,1,1,0.893288372,0.751960314,0.90579873,0.83409488,0.753220901,0.706726126,0.491167012,0.660890907,0.577648723,0.525721766,0.399779029,0.461700879,0.321905462,0.317316194,
1970,0.933310652,0.96680012,1,1,0.9023269,0.76212156,0.911972421,0.837370963,0.763334894,0.707143959,0.490684263,0.656035535,0.577647752,0.528313092,0.396835207,0.457302762,0.320380007,0.313802912,
1971,0.946333795,0.983687822,1,1,0.907870023,0.770363858,0.915985043,0.839936054,0.769325712,0.710631258,0.493086301,0.649890083,0.57658976,0.528802149,0.395263718,0.449180111,0.320015993,0.309621788,
1972,0.957861902,1,1,1,0.91340483,0.776208972,0.920897784,0.843211972,0.774679256,0.70813968,0.497520631,0.645269361,0.57504465,0.529612056,0.393721194,0.443241441,0.320881203,0.30774027,
1973,0.970376794,1,1,1,0.92300361,0.782143814,0.925559411,0.846678023,0.780924563,0.709281551,0.500308706,0.640885876,0.573093268,0.531914813,0.39343087,0.438788977,0.322100426,0.305737832,
1974,0.982259224,1,1,1,0.928444114,0.790945034,0.930655416,0.849597692,0.787538833,0.709527468,0.50195281,0.637576427,0.571207668,0.533748239,0.391953902,0.433362236,0.322774064,0.302739222,
1975,0.993999772,1,1,1,0.931902458,0.794070422,0.935970266,0.848877068,0.791760265,0.711245956,0.500969212,0.633470936,0.567768367,0.533986242,0.390973033,0.42823834,0.322492144,0.300754001,
1976,1,1,1,1,0.940887148,0.799468494,0.940559576,0.847960475,0.799987422,0.711790345,0.502906004,0.62929419,0.566280049,0.530119295,0.390769708,0.424311498,0.322732376,0.298506649,
1977,1,1,1,1,0.945396641,0.803525094,0.945166116,0.847846912,0.80237038,0.713031294,0.502703318,0.625564496,0.561645235,0.529358421,0.38951368,0.418484479,0.322639774,0.296263273,
1978,1,1,1,1,0.953894462,0.807146744,0.949425942,0.846216412,0.807945507,0.712244699,0.505246545,0.622429889,0.558980161,0.527965214,0.388335229,0.413644166,0.322008601,0.294234663,
1979,1,1,1,1,0.960458794,0.811892425,0.952007304,0.846655193,0.811627723,0.713482735,0.510798477,0.619242182,0.558087657,0.525756466,0.388349127,0.408858045,0.322862246,0.293433795,
1980,1,1,1,1,0.965593591,0.816071552,0.954015926,0.845712701,0.818451713,0.714213385,0.514883087,0.615864798,0.555582269,0.52456171,0.387885791,0.404797118,0.322588451,0.29277841,
1981,1,1,1,1,0.973837399,0.819718235,0.955098671,0.844565914,0.825458746,0.713976846,0.518334482,0.611792491,0.555205513,0.52156608,0.38671522,0.398958401,0.321571312,0.291025222,
1982,1,1,1,1,0.969136693,0.822950584,0.957007405,0.844660982,0.832664604,0.71366815,0.519443295,0.609037094,0.554050909,0.515114269,0.385714012,0.394157519,0.321566122,0.290331222,
1983,1,1,1,1,0.980520537,0.827488561,0.959072726,0.846925559,0.839983061,0.715596898,0.52215317,0.606654723,0.553147152,0.513854783,0.385152034,0.392500359,0.321889389,0.289497395,
1984,1,1,1,1,0.986798707,0.832463066,0.960991528,0.849390091,0.847308837,0.718613583,0.522616524,0.605014215,0.552969348,0.509910075,0.385230071,0.390951578,0.322241216,0.288940029,
1985,1,1,1,1,0.990773798,0.837396548,0.96294376,0.851423294,0.8490655,0.722425675,0.523215466,0.602782209,0.551962413,0.505561253,0.384642665,0.388521189,0.322805704,0.288080387,
1986,1,1,1,1,0.993228737,0.842884179,0.964444025,0.854318488,0.856088011,0.726473198,0.522919623,0.600852081,0.550337355,0.501126028,0.383594159,0.386692821,0.323457291,0.287418635,
1987,1,1,1,1,0.998517033,0.84672218,0.96541489,0.858054632,0.861845384,0.731848034,0.524366468,0.599303497,0.550410215,0.498757997,0.383840847,0.384485223,0.323434584,0.28685093,
1988,1,1,1,1,1,0.851135587,0.965960681,0.861427493,0.868613903,0.738030781,0.523345993,0.597716117,0.551039966,0.49447291,0.383626129,0.382393014,0.32381106,0.286411448,
1989,1,1,1,1,1,0.857313001,0.967055604,0.865697534,0.871420268,0.745487897,0.523188021,0.59671231,0.550736194,0.490308326,0.382541651,0.380898409,0.323861633,0.285480556,
1990,1,1,1,1,1,0.862119005,0.966976467,0.869913768,0.874750757,0.752858967,0.522118725,0.59525303,0.550819362,0.484492667,0.381494693,0.379014533,0.324075179,0.284807319,
